Victim_ID,Name,Age,Gender,District
VIC00057,Aashi Narang,21,Male,Belagavi
VIC00058,Max Bajaj,48,Male,Bengaluru Urban
VIC00059,Anvi Sankaran,25,Female,Ballari
VIC00060,Mason Dada,45,Male,Vijayapura
VIC00061,Arya Raman,64,Female,Mangaluru
VIC00062,Unnati Swamy,20,Male,Mangaluru
VIC00063,Janani Palan,43,Female,Hubballi-Dharwad
VIC00064,Harrison Yogi,62,Male,Vijayapura
VIC00065,Faraj Bora,65,Female,Hassan
VIC00066,Manan Badal,62,Male,Hassan
VIC00067,Darika Jani,47,Female,Hubballi-Dharwad
VIC00068,Rushil Murty,58,Female,Belagavi
VIC00069,Anirudh Swaminathan,18,Male,Bengaluru Rural
VIC00070,Frederick Khosla,23,Male,Shivamogga
VIC00071,Bachittar Rajagopal,59,Male,Bengaluru Urban
VIC00072,Siddharth Singh,55,Female,Hubballi-Dharwad
VIC00073,Warinder Nadkarni,62,Male,Hassan
VIC00074,Bhanumati Mangat,55,Male,Kalaburagi
VIC00075,Chandran Raghavan,48,Female,Hubballi-Dharwad
VIC00076,Wazir Choudhry,54,Male,Bengaluru Rural
VIC00077,Daksha Nayak,38,Male,Davanagere
VIC00078,Suhani Chowdhury,73,Male,Kalaburagi
VIC00079,Kavya Mannan,70,Male,Kalaburagi
VIC00080,Dhruv Purohit,53,Female,Bengaluru Rural
VIC00081,Faqid Rege,51,Male,Hassan
VIC00082,Akshay Soman,66,Male,Vijayapura
VIC00083,Gautam Baria,75,Male,Mysuru
VIC00084,Urvashi Balasubramanian,73,Male,Bengaluru Urban
VIC00085,Rachit Pingle,53,Female,Hassan
VIC00086,Tanveer Misra,38,Male,Bengaluru Urban
VIC00087,Frederick Sampath,26,Male,Vijayapura
VIC00088,Xalak Sachdev,28,Male,Tumakuru
VIC00089,Pooja Karpe,34,Male,Bengaluru Rural
VIC00090,Fitan Naidu,25,Female,Belagavi
VIC00091,Jatin Chaudhry,52,Male,Kalaburagi
VIC00092,Vedhika Lalla,60,Male,Mangaluru
VIC00093,Zashil Cheema,37,Male,Tumakuru
VIC00094,Chasmum Ray,75,Female,Vijayapura
VIC00095,Gautami Pingle,52,Female,Mysuru
VIC00096,Baljiwan Ray,54,Female,Davanagere
VIC00097,Gabriel Memon,38,Female,Ballari
VIC00098,Upasna Shenoy,52,Male,Davanagere
VIC00099,Pooja Arora,24,Male,Mangaluru
VIC00100,Finn Madan,20,Male,Mysuru
VIC00101,Azaan Mutti,37,Male,Mysuru
VIC00102,Yashvi Hayre,56,Male,Ballari
VIC00103,Janaki Aurora,40,Female,Mysuru
VIC00104,Onveer Deep,64,Female,Bengaluru Rural
VIC00105,Yashoda Bajaj,53,Female,Hubballi-Dharwad
VIC00106,Hemal Vora,42,Male,Kalaburagi
VIC00107,Dayita Nadkarni,47,Male,Hubballi-Dharwad
VIC00108,Benjamin Chandra,61,Female,Davanagere
VIC00109,Aishani Sarraf,27,Male,Bengaluru Rural
VIC00110,Krisha Badami,58,Female,Vijayapura
VIC00111,Jairaj Ravel,62,Male,Davanagere
VIC00112,Ira Om,41,Male,Kalaburagi
VIC00113,Rajata Kumar,70,Male,Belagavi
VIC00114,Raksha Buch,68,Female,Kalaburagi
VIC00115,Lavanya Chandran,19,Male,Bengaluru Rural
VIC00116,Lipika Batra,35,Male,Tumakuru
VIC00117,Hitesh Krish,25,Female,Bengaluru Rural
VIC00118,Harini Khatri,39,Male,Belagavi
VIC00119,Banjeet Bhargava,39,Female,Mysuru
VIC00120,Harita Khosla,73,Male,Hubballi-Dharwad
VIC00121,Panini Khatri,18,Male,Kalaburagi
VIC00122,Vidhi Chatterjee,32,Female,Bengaluru Rural
VIC00123,Anika Zacharia,68,Male,Mysuru
VIC00124,Gaurav Prabhakar,51,Female,Ballari
VIC00125,Ikbal Saraf,70,Female,Bengaluru Rural
VIC00126,Zilmil Dash,51,Female,Davanagere
VIC00127,Amrita Master,54,Female,Tumakuru
VIC00128,Inaya Khosla,35,Male,Chikkamagaluru
VIC00129,Netra Sule,21,Male,Belagavi
VIC00130,Sanaya Atwal,66,Female,Mysuru
VIC00131,Robert Bir,40,Female,Shivamogga
VIC00132,Aryan Garde,55,Male,Hubballi-Dharwad
VIC00133,Gagan Sandal,18,Male,Vijayapura
VIC00134,Yauvani Tata,26,Male,Kalaburagi
VIC00135,Yuvraj Mall,54,Female,Bengaluru Urban
VIC00136,Atharv Seshadri,64,Female,Davanagere
VIC00137,Irya Pandya,67,Male,Vijayapura
VIC00138,Lopa Dugar,56,Female,Davanagere
VIC00139,Bhavya Bajaj,47,Male,Shivamogga
VIC00140,Mitali Sura,40,Female,Tumakuru
VIC00141,Ekalinga Verma,36,Female,Kalaburagi
VIC00142,Ayush Kade,51,Male,Hubballi-Dharwad
VIC00143,Avi Wagle,58,Male,Hubballi-Dharwad
VIC00144,Bhavna Warrior,44,Female,Udupi
VIC00145,Bhavini Tata,23,Male,Bengaluru Rural
VIC00146,Amara Swaminathan,64,Male,Bengaluru Rural
VIC00147,Balhaar Sandal,28,Male,Bengaluru Rural
VIC00148,Kiaan Varma,65,Female,Tumakuru
VIC00149,Ridhi Venkataraman,49,Male,Kalaburagi
VIC00150,Vansha Viswanathan,61,Male,Shivamogga
VIC00151,Maanav Shanker,49,Male,Kalaburagi
VIC00152,Hema Jha,18,Male,Chikkamagaluru
VIC00153,Gopal Mandal,71,Male,Davanagere
VIC00154,Girik Doctor,45,Female,Mangaluru
VIC00155,Pranit Dewan,65,Male,Ballari
VIC00156,Nisha Sharma,46,Male,Vijayapura
VIC00157,Alka Lall,74,Male,Mysuru
VIC00158,Hritik Barman,22,Female,Udupi
VIC00159,Ira Taneja,26,Female,Bengaluru Urban
VIC00160,Yasti Dara,45,Female,Kalaburagi
VIC00161,Kabir Shukla,28,Female,Bengaluru Rural
VIC00162,Sathvik Dhingra,39,Male,Udupi
VIC00163,Vyanjana Parikh,52,Male,Hubballi-Dharwad
VIC00164,Nitara Srivastava,37,Female,Hubballi-Dharwad
VIC00165,Manbir Shukla,34,Male,Bengaluru Urban
VIC00166,Faraj Nagar,65,Female,Mangaluru
VIC00167,Chaaya Randhawa,37,Male,Chikkamagaluru
VIC00168,Lucky Gade,47,Female,Bengaluru Urban
VIC00169,Watika Merchant,40,Male,Ballari
VIC00170,Ikbal Thaman,47,Female,Hubballi-Dharwad
VIC00171,Aryan Hari,40,Male,Bengaluru Urban
VIC00172,Rehaan Tara,40,Male,Kalaburagi
VIC00173,Rachita Barman,40,Male,Bengaluru Rural
VIC00174,Arya Pandya,45,Female,Mangaluru
VIC00175,Sai Borah,23,Male,Kalaburagi
VIC00176,Nidhi Bhatia,25,Female,Bengaluru Urban
VIC00177,Qushi Kara,27,Female,Mangaluru
VIC00178,Oscar Dayal,48,Female,Belagavi
VIC00179,Ojasvi Kant,37,Female,Kalaburagi
VIC00180,Bhanumati Sahni,75,Male,Tumakuru
VIC00181,Jatin Mammen,69,Female,Bengaluru Rural
VIC00182,Rohan Batta,46,Female,Mysuru
VIC00183,Nitara Ravel,26,Female,Davanagere
VIC00184,Hemani Sarin,45,Male,Belagavi
VIC00185,Ishani Doshi,74,Male,Bengaluru Rural
VIC00186,Lila Kala,30,Female,Bengaluru Urban
VIC00187,Zansi Goel,26,Female,Kalaburagi
VIC00188,Isaiah Kashyap,65,Female,Chikkamagaluru
VIC00189,Girish Sastry,20,Male,Vijayapura
VIC00190,Azaan Nigam,30,Female,Vijayapura
VIC00191,Gopal Madan,35,Male,Kalaburagi
VIC00192,Chatresh Panchal,49,Female,Hassan
VIC00193,Laban Shere,61,Male,Belagavi
VIC00194,Jonathan Naidu,66,Female,Tumakuru
VIC00195,Yachana Manda,64,Female,Mysuru
VIC00196,Gaurangi Padmanabhan,25,Male,Hassan
VIC00197,Chaitanya Dara,19,Male,Mysuru
VIC00198,Kashvi Ramaswamy,40,Male,Hassan
VIC00199,Urmi Seshadri,61,Male,Bengaluru Urban
VIC00200,Quincy Hari,61,Female,Kalaburagi
VIC00201,Ojas Bedi,56,Male,Kalaburagi
VIC00202,Reva Raj,48,Female,Hubballi-Dharwad
VIC00203,Dayita Seshadri,49,Male,Hassan
VIC00204,Simon Balasubramanian,45,Male,Ballari
VIC00205,Ekaja Pandya,27,Male,Mangaluru
VIC00206,Gautam Lala,35,Male,Udupi
VIC00207,Fiyaz Varughese,34,Male,Vijayapura
VIC00208,Aarav Date,70,Female,Mangaluru
VIC00209,Eshana Raj,48,Male,Davanagere
VIC00210,Tripti Chaudry,64,Male,Mangaluru
VIC00211,Kai Ram,72,Male,Mangaluru
VIC00212,Neha Ahuja,25,Male,Kalaburagi
VIC00213,Ayushman Doctor,20,Female,Mangaluru
VIC00214,Veer Dugal,27,Female,Bengaluru Urban
VIC00215,Xavier Kala,57,Male,Bengaluru Rural
VIC00216,Libni Tara,73,Male,Kalaburagi
VIC00217,Victor Varghese,44,Female,Davanagere
VIC00218,Pranit Bora,58,Male,Mangaluru
VIC00219,Hardik Sangha,39,Female,Shivamogga
VIC00220,Siddharth Gulati,21,Female,Vijayapura
VIC00221,Samuel Sinha,21,Female,Bengaluru Rural
VIC00222,Frederick Nayar,35,Female,Hubballi-Dharwad
VIC00223,Isaac Pall,40,Female,Mangaluru
VIC00224,Krishna Rout,38,Male,Mysuru
VIC00225,Waida Mand,20,Male,Bengaluru Urban
VIC00226,Indrajit Yohannan,60,Female,Mangaluru
VIC00227,Yachana Murthy,36,Female,Hubballi-Dharwad
VIC00228,Liam Ramachandran,56,Male,Kalaburagi
VIC00229,Gautami Kapoor,29,Female,Shivamogga
VIC00230,Lakshit De,41,Female,Hubballi-Dharwad
VIC00231,Unnati Shankar,25,Male,Vijayapura
VIC00232,Rayaan Dar,18,Male,Belagavi
VIC00233,Nisha Kuruvilla,41,Female,Davanagere
VIC00234,Tanmayi Zacharia,67,Female,Mangaluru
VIC00235,Manan Koshy,59,Female,Mangaluru
VIC00236,Ridhi Hayre,55,Female,Bengaluru Rural
VIC00237,Pahal Borah,74,Male,Mysuru
VIC00238,Garima Gade,58,Male,Bengaluru Urban
VIC00239,Mitesh Kumer,55,Male,Mangaluru
VIC00240,Tara Prabhakar,63,Female,Chikkamagaluru
VIC00241,Waida Bath,24,Male,Tumakuru
VIC00242,Radhika Ramesh,57,Female,Hubballi-Dharwad
VIC00243,Eiravati Amble,64,Female,Hassan
VIC00244,Christopher Majumdar,30,Male,Bengaluru Urban
VIC00245,Matthew Nayak,26,Male,Kalaburagi
VIC00246,Jeevika Tandon,53,Female,Chikkamagaluru
VIC00247,Ekbal Kalla,74,Female,Chikkamagaluru
VIC00248,Raksha Chakrabarti,41,Female,Vijayapura
VIC00249,Watika Lal,63,Male,Chikkamagaluru
VIC00250,Lila Kaur,45,Male,Shivamogga
VIC00251,Henry Rao,44,Male,Mysuru
VIC00252,Manya More,56,Female,Davanagere
VIC00253,Tanveer Yogi,26,Female,Bengaluru Urban
VIC00254,Reva Tata,54,Male,Hassan
VIC00255,Vidhi Walia,62,Male,Davanagere
VIC00256,Vaishnavi Dyal,70,Female,Shivamogga
VIC00257,Harish Karpe,61,Male,Mysuru
VIC00258,Ryan Anne,46,Female,Tumakuru
VIC00259,Unnati Kalla,67,Female,Kalaburagi
VIC00260,Meera Sanghvi,56,Female,Mangaluru
VIC00261,Vasatika Lala,29,Male,Mysuru
VIC00262,Balveer Bhagat,54,Male,Ballari
VIC00263,Ansh Dubey,62,Male,Chikkamagaluru
VIC00264,Yashawini Vala,68,Female,Tumakuru
VIC00265,Nachiket Murty,63,Female,Hubballi-Dharwad
VIC00266,Libni Kari,72,Male,Hubballi-Dharwad
VIC00267,Samesh Deol,63,Female,Tumakuru
VIC00268,Zilmil Contractor,25,Male,Mangaluru
VIC00269,Thomas Wable,20,Male,Hubballi-Dharwad
VIC00270,Mitesh Pandey,20,Male,Chikkamagaluru
VIC00271,Amol Pillai,35,Male,Hubballi-Dharwad
VIC00272,Yahvi Mammen,73,Male,Vijayapura
VIC00273,Mohini Banerjee,33,Male,Tumakuru
VIC00274,Qarin Cherian,25,Male,Vijayapura
VIC00275,Mohini Dora,40,Female,Belagavi
VIC00276,Thomas Halder,23,Female,Davanagere
VIC00277,Rudra Rama,26,Female,Chikkamagaluru
VIC00278,Brijesh Dhawan,57,Female,Belagavi
VIC00279,Jagvi Khanna,21,Male,Udupi
VIC00280,Sanya Parmar,40,Male,Davanagere
VIC00281,Siya Walia,35,Male,Hubballi-Dharwad
VIC00282,Mason Bava,19,Male,Davanagere
VIC00283,Champak Mital,65,Female,Vijayapura
VIC00284,Baghyawati Bhatti,34,Male,Udupi
VIC00285,Garima Chakraborty,46,Male,Belagavi
VIC00286,Aradhana Iyer,35,Male,Ballari
VIC00287,Alexander Kohli,58,Female,Mysuru
VIC00288,Shivani Ganesh,46,Male,Davanagere
VIC00289,Liam Prabhu,64,Female,Belagavi
VIC00290,Lakshit Parikh,27,Female,Bengaluru Rural
VIC00291,Ranbir Gola,49,Male,Shivamogga
VIC00292,Upadhriti Swamy,29,Male,Mangaluru
VIC00293,Shravya Malhotra,54,Female,Davanagere
VIC00294,Bachittar Dutta,29,Female,Bengaluru Urban
VIC00295,Sai Upadhyay,37,Male,Chikkamagaluru
VIC00296,Prisha Ganesh,29,Female,Vijayapura
VIC00297,Urmi Raj,56,Male,Bengaluru Rural
VIC00298,Ayush Chaudhry,27,Male,Kalaburagi
VIC00299,Aachal Jhaveri,33,Female,Chikkamagaluru
VIC00300,Warinder Warrior,59,Female,Bengaluru Rural
VIC00301,Yachana Om,64,Male,Davanagere
VIC00302,Banjeet Magar,66,Male,Ballari
VIC00303,Fitan Kunda,24,Female,Kalaburagi
VIC00304,Manbir Gupta,19,Male,Udupi
VIC00305,Ayaan Kapoor,18,Male,Mysuru
VIC00306,Benjamin Nanda,33,Male,Hubballi-Dharwad
VIC00307,Nakul Dewan,27,Male,Hassan
VIC00308,Oliver Thakur,18,Male,Tumakuru
VIC00309,Aashi Keer,65,Female,Udupi
VIC00310,Ekbal Hayer,63,Male,Mangaluru
VIC00311,Dev Kuruvilla,26,Female,Hassan
VIC00312,Fitan Sarraf,54,Female,Udupi
VIC00313,Daksh Dua,28,Female,Belagavi
VIC00314,Lucky Thaker,48,Male,Mangaluru
VIC00315,Ekapad Dash,21,Female,Vijayapura
VIC00316,Bachittar Bail,52,Male,Bengaluru Urban
VIC00317,Vasatika Murthy,70,Male,Bengaluru Rural
VIC00318,Isha Raghavan,52,Female,Bengaluru Rural
VIC00319,Zashil Barman,50,Female,Mysuru
VIC00320,Netra Anne,18,Male,Bengaluru Urban
VIC00321,Chanakya Prabhakar,32,Female,Kalaburagi
VIC00322,Sai Nath,27,Female,Vijayapura
VIC00323,Harini Jain,36,Male,Chikkamagaluru
VIC00324,Suhani Zacharia,74,Female,Vijayapura
VIC00325,Harshil Tripathi,74,Male,Shivamogga
VIC00326,Aadhya Patil,28,Male,Mangaluru
VIC00327,Omisha Shetty,24,Female,Belagavi
VIC00328,Ladli Mitter,22,Female,Bengaluru Rural
VIC00329,Yashica Tiwari,41,Male,Chikkamagaluru
VIC00330,Panini Salvi,20,Male,Mysuru
VIC00331,Nachiket Arora,45,Female,Ballari
VIC00332,Yachana Varughese,29,Female,Mysuru
VIC00333,Tanmayi Garg,75,Female,Ballari
VIC00334,Alexander Grewal,70,Female,Belagavi
VIC00335,Omkaar Grewal,74,Male,Hubballi-Dharwad
VIC00336,Yamini Savant,49,Female,Chikkamagaluru
VIC00337,Nitesh Narula,34,Male,Hassan
VIC00338,Anusha Kumar,18,Male,Hassan
VIC00339,Chakradev Saran,59,Male,Belagavi
VIC00340,Henry Gala,27,Female,Shivamogga
VIC00341,Pushti Suresh,64,Female,Udupi
VIC00342,Arya Patla,22,Male,Ballari
VIC00343,Teerth Singhal,45,Female,Mysuru
VIC00344,Gautam Ramaswamy,23,Female,Mysuru
VIC00345,Wazir Tailor,29,Female,Belagavi
VIC00346,Manbir Dua,38,Female,Kalaburagi
VIC00347,Ladli Dhar,48,Female,Ballari
VIC00348,Isaac Chadha,68,Female,Mysuru
VIC00349,Chandran Din,69,Male,Kalaburagi
VIC00350,Ekiya Wagle,44,Female,Tumakuru
VIC00351,Harsh Divan,52,Female,Tumakuru
VIC00352,Gavin Bhandari,52,Male,Kalaburagi
VIC00353,Ekavir Munshi,23,Female,Tumakuru
VIC00354,Zansi Solanki,54,Male,Davanagere
VIC00355,Noah Ghose,23,Male,Belagavi
VIC00356,Aishani Singh,18,Male,Udupi
VIC00357,Ishwar Pathak,19,Female,Tumakuru
VIC00358,Ronith Mitra,48,Male,Chikkamagaluru
VIC00359,Jagrati Tripathi,25,Male,Chikkamagaluru
VIC00360,Ayush Bala,40,Female,Udupi
VIC00361,George Garde,72,Male,Hubballi-Dharwad
VIC00362,Aarnav Minhas,47,Male,Udupi
VIC00363,Tripti Deol,72,Female,Mangaluru
VIC00364,Odika Sunder,31,Male,Bengaluru Urban
VIC00365,Dayita Mane,65,Male,Bengaluru Rural
VIC00366,Bhavini Tella,62,Male,Kalaburagi
VIC00367,Rajeshri Madan,64,Male,Davanagere
VIC00368,Vasatika Mukhopadhyay,45,Female,Bengaluru Urban
VIC00369,Xiti Walia,62,Male,Vijayapura
VIC00370,Qasim Acharya,55,Male,Shivamogga
VIC00371,Ekapad Sarna,71,Male,Bengaluru Urban
VIC00372,Yasti Rai,27,Female,Mysuru
VIC00373,Praneel Kar,23,Male,Bengaluru Rural
VIC00374,Riya Bir,18,Female,Mysuru
VIC00375,Forum Chowdhury,66,Male,Shivamogga
VIC00376,Suhani Chadha,65,Male,Davanagere
VIC00377,Harita Golla,51,Female,Shivamogga
VIC00378,Sachi Parekh,44,Female,Shivamogga
VIC00379,Darsh Bahl,68,Male,Hubballi-Dharwad
VIC00380,Alka Bala,25,Male,Bengaluru Urban
VIC00381,Dev Kar,74,Male,Ballari
VIC00382,Deepa Om,66,Male,Tumakuru
VIC00383,Chaaya Dhillon,28,Male,Kalaburagi
VIC00384,Robert Parmar,71,Female,Vijayapura
VIC00385,Vasana Sankaran,74,Female,Tumakuru
VIC00386,Nandini Mitra,63,Female,Chikkamagaluru
VIC00387,Rajeshri Patla,54,Female,Davanagere
VIC00388,Maanas Balan,32,Female,Chikkamagaluru
VIC00389,Anay Chand,28,Female,Bengaluru Rural
VIC00390,Tarak Ghosh,51,Female,Mysuru
VIC00391,Ikshita Sarkar,65,Male,Kalaburagi
VIC00392,Harsh Balasubramanian,57,Male,Mangaluru
VIC00393,Tristan Shukla,43,Male,Udupi
VIC00394,Garima Suri,65,Male,Udupi
VIC00395,Jackson Ganguly,62,Female,Shivamogga
VIC00396,Divya Virk,38,Female,Udupi
VIC00397,Yauvani Sheth,42,Male,Bengaluru Urban
VIC00398,Yuvraj Varma,69,Female,Vijayapura
VIC00399,Dayamai Sura,45,Male,Hubballi-Dharwad
VIC00400,Chaaya Brahmbhatt,24,Male,Bengaluru Rural
VIC00401,Alexander Khurana,41,Female,Bengaluru Urban
VIC00402,Kamala Sathe,33,Female,Mysuru
VIC00403,Banjeet Tandon,52,Male,Bengaluru Rural
VIC00404,Ikbal Deep,31,Male,Hassan
VIC00405,Imaran Prabhu,37,Male,Tumakuru
VIC00406,Shravya Sur,30,Male,Mangaluru
VIC00407,Laban Majumdar,35,Male,Ballari
VIC00408,Dhruv Bhatti,54,Male,Ballari
VIC00409,Utkarsh Kohli,68,Female,Bengaluru Urban
VIC00410,Wridesh Zachariah,21,Female,Bengaluru Rural
VIC00411,Ishita Malhotra,37,Male,Belagavi
VIC00412,Christopher Mishra,66,Female,Kalaburagi
VIC00413,Chandani Pradhan,50,Male,Belagavi
VIC00414,Aarav Raghavan,66,Female,Davanagere
VIC00415,Vasatika Bassi,40,Male,Davanagere
VIC00416,Amol Shenoy,61,Male,Belagavi
VIC00417,Vanya Batra,44,Male,Tumakuru
VIC00418,Aarush Peri,69,Male,Bengaluru Urban
VIC00419,Saksham Gokhale,55,Female,Shivamogga
VIC00420,Elijah Sangha,55,Male,Hubballi-Dharwad
VIC00421,Pranav Kunda,28,Male,Vijayapura
VIC00422,Rudra Ram,47,Male,Chikkamagaluru
VIC00423,Chameli Rajagopalan,58,Male,Davanagere
VIC00424,Advaith Narula,32,Male,Hassan
VIC00425,Nikita Mitter,61,Male,Hassan
VIC00426,Dhriti Shah,63,Male,Tumakuru
VIC00427,Chaman Badami,51,Female,Shivamogga
VIC00428,Lohit Sane,68,Male,Belagavi
VIC00429,Samarth Dhar,36,Female,Ballari
VIC00430,Anika Mukhopadhyay,72,Female,Bengaluru Urban
VIC00431,Zilmil Dani,75,Female,Mangaluru
VIC00432,Dakshesh Bhakta,31,Male,Mysuru
VIC00433,Hitesh Deshmukh,54,Female,Bengaluru Rural
VIC00434,Chakradhar Sandhu,69,Male,Mysuru
VIC00435,Leela Devan,67,Female,Tumakuru
VIC00436,Manthan Agate,73,Male,Shivamogga
VIC00437,Tristan Kibe,24,Female,Belagavi
VIC00438,Rehaan Narayanan,28,Female,Mysuru
VIC00439,Gaurika Reddy,22,Female,Ballari
VIC00440,Avni Agate,41,Female,Bengaluru Rural
VIC00441,Anthony Anne,22,Male,Davanagere
VIC00442,Anjali Natarajan,67,Female,Hubballi-Dharwad
VIC00443,Ishaan Om,48,Female,Hassan
VIC00444,Oscar Nagi,74,Female,Vijayapura
VIC00445,Mitali Dutt,26,Male,Ballari
VIC00446,Yashawini Dutta,49,Male,Belagavi
VIC00447,Barkha Johal,72,Female,Kalaburagi
VIC00448,Sudiksha Parmer,44,Male,Shivamogga
VIC00449,Mohammed Soman,41,Female,Belagavi
VIC00450,Devika Khosla,23,Female,Tumakuru
VIC00451,Xavier Maharaj,46,Female,Chikkamagaluru
VIC00452,Neelima Balan,74,Male,Ballari
VIC00453,Omisha Saxena,59,Male,Davanagere
VIC00454,Ubika Kothari,68,Male,Davanagere
VIC00455,Rudra Varkey,70,Male,Mysuru
VIC00456,Sachi Manda,72,Male,Hubballi-Dharwad
VIC00457,Chatura Tripathi,42,Male,Ballari
VIC00458,Lakshit Lad,43,Male,Mangaluru
VIC00459,Meera Sarraf,42,Female,Vijayapura
VIC00460,Leela Warrior,23,Female,Shivamogga
VIC00461,Sathvik Krishnan,47,Female,Bengaluru Rural
VIC00462,Gaurangi Goda,23,Male,Davanagere
VIC00463,Dayamai Mand,24,Female,Hassan
VIC00464,Abhiram Swaminathan,45,Male,Kalaburagi
VIC00465,Ekapad Rajagopal,39,Male,Belagavi
VIC00466,Nirja Bera,39,Female,Mangaluru
VIC00467,Gabriel Mahal,62,Female,Bengaluru Rural
VIC00468,Jack Handa,35,Female,Bengaluru Urban
VIC00469,Peter Basak,52,Male,Shivamogga
VIC00470,Jeevika Ramachandran,27,Male,Belagavi
VIC00471,Yadavi Sethi,54,Male,Ballari
VIC00472,Charan De,67,Female,Bengaluru Urban
VIC00473,Rachit Viswanathan,69,Female,Hassan
VIC00474,Om Bir,45,Female,Mangaluru
VIC00475,Wazir Rajagopal,21,Male,Udupi
VIC00476,Damyanti Gala,19,Female,Hubballi-Dharwad
VIC00477,Rehaan Garde,34,Male,Bengaluru Rural
VIC00478,Aadi Sahota,27,Male,Hubballi-Dharwad
VIC00479,Fariq Chauhan,43,Male,Hubballi-Dharwad
VIC00480,Isaiah Kakar,73,Female,Udupi
VIC00481,Ekalinga Dada,44,Male,Vijayapura
VIC00482,Waida Vala,75,Female,Mysuru
VIC00483,Vivaan Rege,71,Male,Bengaluru Rural
VIC00484,Devika Aurora,75,Female,Belagavi
VIC00485,Balendra Narasimhan,66,Female,Mysuru
VIC00486,Hardik Pradhan,30,Female,Kalaburagi
VIC00487,Urmi Hans,48,Female,Tumakuru
VIC00488,Keya Mitter,62,Male,Davanagere
VIC00489,Jairaj Goel,45,Female,Chikkamagaluru
VIC00490,Karan Parmar,62,Female,Udupi
VIC00491,Siddharth Natarajan,18,Male,Bengaluru Rural
VIC00492,Vedika Vig,64,Male,Belagavi
VIC00493,Andrew Khare,60,Female,Bengaluru Urban
VIC00494,Tara Patla,27,Female,Chikkamagaluru
VIC00495,Janani Zacharia,27,Female,Udupi
VIC00496,Arjun Sami,38,Male,Hassan
VIC00497,Warhi Badal,61,Female,Hubballi-Dharwad
VIC00498,Zinal Nadkarni,51,Male,Shivamogga
VIC00499,Daksh Tandon,71,Male,Vijayapura
VIC00500,Chandani Jayaraman,46,Male,Bengaluru Urban
VIC00501,Jhalak Raja,31,Male,Kalaburagi
VIC00502,Luke Verma,62,Male,Ballari
VIC00503,Nathaniel Shukla,42,Male,Belagavi
